 12.83 12.34 21.75 18.42 12.44 19.43 30.18 15.13 28.89 25.11 21.38 17.41 16.34 28.44 18.47 18.08 12.30 16.12 23.19 22.15 22.71 29.95 24.81 9.53 17.46 13.96 16.44 19.08 26.78 22.40
 12.31 10.96 21.17 17.82 11.75 18.65 29.01 14.24 27.87 24.37 20.73 16.69 15.61 27.90 17.59 17.09 11.50 15.71 21.74 21.38 22.08 29.05 23.84 9.18 16.51 13.17 15.66 18.11 25.93 21.25
 12.19 9.86 21.05 17.46 11.49 18.33 28.33 13.68 27.25 24.08 20.69 16.14 15.19 27.87 17.07 16.51 11.14 15.73 20.83 21.04 21.74 28.69 23.38 9.10 15.87 12.78 15.39 17.35 25.58 20.43
 11.81 8.79 20.60 16.96 11.07 17.78 27.19 12.98 26.14 23.39 20.32 15.43 14.67 27.17 16.28 15.70 10.69 15.53 19.50 20.23 21.16 27.83 22.46 9.00 15.12 12.17 14.81 16.38 24.71 19.33
 11.27 7.53 19.96 16.31 10.51 17.14 25.71 12.17 24.77 22.40 19.63 14.48 13.89 26.13 15.28 14.61 9.92 15.03 18.07 19.18 20.31 26.86 21.48 8.62 14.07 11.27 14.06 15.18 23.73 18.02
 10.60 6.16 19.46 15.65 10.15 16.41 24.61 11.22 23.59 21.82 19.25 13.62 13.09 25.53 14.46 13.61 9.34 14.72 16.77 18.50 19.69 26.12 20.64 8.28 13.20 10.51 13.55 14.10 23.10 16.81
 9.91 4.88 18.82 14.74 9.69 15.71 23.18 10.18 22.17 20.84 18.50 12.53 12.18 24.39 13.42 12.45 8.60 14.16 15.26 17.41 18.81 25.08 19.45 7.89 12.13 9.58 12.86 12.74 22.10 15.42
 8.79 3.32 17.88 13.59 8.91 14.58 21.40 8.83 20.39 19.69 17.47 11.19 10.85 23.03 12.13 11.09 7.56 13.34 13.54 16.20 17.79 23.86 18.11 7.25 10.83 8.27 12.00 11.21 20.91 13.78
 8.41 2.80 17.72 13.21 8.83 14.33 20.70 8.39 19.64 19.25 17.02 10.81 10.26 22.48 11.57 10.46 7.25 13.22 12.78 15.74 17.45 23.46 17.66 7.31 10.36 7.86 11.82 10.51 20.55 13.11
 7.21 1.30 16.90 12.17 8.12 13.38 19.19 7.09 18.00 18.23 16.14 9.61 8.89 21.29 10.37 9.28 6.24 12.44 11.15 14.58 16.52 22.25 16.44 6.47 9.02 6.63 10.90 9.09 19.53 11.61
 6.68 0.76 16.35 11.62 7.99 12.72 18.03 6.43 16.78 17.52 15.40 8.89 8.13 20.33 9.67 8.47 5.78 12.16 10.09 13.87 15.97 21.27 15.57 6.35 8.21 5.88 10.61 8.19 18.72 10.54
 6.00 0.01 15.95 11.09 7.87 12.23 17.17 5.79 15.72 16.96 14.86 8.27 7.26 19.65 9.04 7.73 5.20 11.87 9.20 13.37 15.51 20.66 14.91 6.15 7.49 5.23 10.39 7.36 18.17 9.65
 5.20 -0.83 15.31 10.29 7.50 11.45 16.04 4.96 14.44 16.25 14.12 7.34 6.17 18.75 8.11 6.88 4.47 11.35 7.87 12.55 14.79 19.44 14.00 5.62 6.52 4.24 9.97 6.44 17.30 8.47
 4.43 -1.33 14.94 9.65 7.24 10.91 15.25 4.22 13.55 15.82 13.51 6.82 5.30 18.08 7.52 6.20 4.03 11.02 7.17 12.10 14.35 18.75 13.34 5.29 5.87 3.55 9.74 5.77 16.80 7.75
 4.08 -1.41 14.65 9.36 7.43 10.57 14.73 3.83 12.95 15.53 13.06 6.53 4.61 17.63 7.28 5.80 3.75 11.03 6.82 11.91 14.06 18.15 12.82 5.28 5.55 3.20 9.96 5.41 16.51 7.28
 3.68 -1.77 14.31 8.89 7.38 10.19 14.15 3.43 12.25 15.28 12.65 6.13 3.93 17.11 7.01 5.41 3.36 10.87 6.31 11.67 13.82 17.61 12.37 5.11 5.13 2.70 10.21 5.11 16.19 6.78
 3.05 -2.09 13.62 8.14 7.13 9.53 13.33 2.81 11.46 14.70 11.83 5.60 2.94 16.29 6.41 4.76 2.81 10.54 5.71 11.07 13.25 16.69 11.57 4.67 4.66 2.04 10.13 4.54 15.45 6.09
 2.35 -2.43 12.97 7.40 6.86 8.92 12.90 2.04 10.90 14.30 11.05 5.02 1.98 15.75 6.03 4.16 2.30 10.17 5.33 10.75 12.73 15.96 10.94 4.18 4.21 1.41 10.14 4.18 14.90 5.57
 2.34 -2.27 12.81 7.30 7.12 8.86 12.71 2.05 10.71 14.39 10.92 4.96 1.62 15.54 6.10 4.15 2.38 10.32 5.35 10.79 12.69 15.64 10.79 4.26 4.41 1.38 10.65 4.30 14.80 5.45
